guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:33:38 	-0700,2025-04-01 	19:31:44 	-0700,2025-04-01 	19:31:44 	-0700,50
guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:40:08 	-0700,2025-04-01 	19:33:56 	-0700,2025-04-01 	19:33:56 	-0700,52
guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:46:15 	-0700,2025-04-01 	19:39:09 	-0700,2025-04-01 	19:39:09 	-0700,51
guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:46:56 	-0700,2025-04-01 	19:45:41 	-0700,2025-04-01 	19:45:41 	-0700,52
guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:52:08 	-0700,2025-04-01 	19:48:41 	-0700,2025-04-01 	19:48:41 	-0700,52
guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:55:27 	-0700,2025-04-01 	19:55:26 	-0700,2025-04-01 	19:55:26 	-0700,76
guk 	il’s 	Apple Watch,count/min,2025-04-01 	19:57:10 	-0700,2025-04-01 	19:52:02 	-0700,2025-04-01 	19:52:02 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:02:06 	-0700,2025-04-01 	19:56:52 	-0700,2025-04-01 	19:56:52 	-0700,61
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:05:57 	-0700,2025-04-01 	20:05:56 	-0700,2025-04-01 	20:05:56 	-0700,76
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:09:52 	-0700,2025-04-01 	20:01:57 	-0700,2025-04-01 	20:01:57 	-0700,61
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:12:35 	-0700,2025-04-01 	20:08:58 	-0700,2025-04-01 	20:08:58 	-0700,77
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:15:01 	-0700,2025-04-01 	20:15:01 	-0700,2025-04-01 	20:15:01 	-0700,69
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:15:54 	-0700,2025-04-01 	20:14:52 	-0700,2025-04-01 	20:14:52 	-0700,69.619
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:17:51 	-0700,2025-04-01 	20:13:12 	-0700,2025-04-01 	20:13:12 	-0700,77
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:22:40 	-0700,2025-04-01 	20:18:18 	-0700,2025-04-01 	20:18:18 	-0700,71
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:29:44 	-0700,2025-04-01 	20:26:04 	-0700,2025-04-01 	20:26:04 	-0700,64
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:32:52 	-0700,2025-04-01 	20:27:58 	-0700,2025-04-01 	20:27:58 	-0700,65
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:38:30 	-0700,2025-04-01 	20:36:16 	-0700,2025-04-01 	20:36:16 	-0700,57
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:44:32 	-0700,2025-04-01 	20:39:33 	-0700,2025-04-01 	20:39:33 	-0700,64
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:50:57 	-0700,2025-04-01 	20:44:01 	-0700,2025-04-01 	20:44:01 	-0700,60
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:54:23 	-0700,2025-04-01 	20:51:24 	-0700,2025-04-01 	20:51:24 	-0700,65
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:56:57 	-0700,2025-04-01 	20:56:56 	-0700,2025-04-01 	20:56:56 	-0700,51
guk 	il’s 	Apple Watch,count/min,2025-04-01 	20:59:21 	-0700,2025-04-01 	20:56:26 	-0700,2025-04-01 	20:56:26 	-0700,51
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:04:20 	-0700,2025-04-01 	20:57:34 	-0700,2025-04-01 	20:57:34 	-0700,54
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:07:36 	-0700,2025-04-01 	21:03:11 	-0700,2025-04-01 	21:03:11 	-0700,58
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:13:09 	-0700,2025-04-01 	21:11:35 	-0700,2025-04-01 	21:11:35 	-0700,56
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:18:12 	-0700,2025-04-01 	21:13:02 	-0700,2025-04-01 	21:13:02 	-0700,65
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:23:11 	-0700,2025-04-01 	21:17:01 	-0700,2025-04-01 	21:17:01 	-0700,67
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:28:06 	-0700,2025-04-01 	21:23:53 	-0700,2025-04-01 	21:23:53 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:32:21 	-0700,2025-04-01 	21:30:13 	-0700,2025-04-01 	21:30:13 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:37:53 	-0700,2025-04-01 	21:31:57 	-0700,2025-04-01 	21:31:57 	-0700,72
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:41:58 	-0700,2025-04-01 	21:37:50 	-0700,2025-04-01 	21:37:50 	-0700,53
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:50:45 	-0700,2025-04-01 	21:44:02 	-0700,2025-04-01 	21:44:02 	-0700,65
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:54:29 	-0700,2025-04-01 	21:51:35 	-0700,2025-04-01 	21:51:35 	-0700,63
guk 	il’s 	Apple Watch,count/min,2025-04-01 	21:57:39 	-0700,2025-04-01 	21:53:51 	-0700,2025-04-01 	21:53:51 	-0700,64
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:07:00 	-0700,2025-04-01 	21:59:29 	-0700,2025-04-01 	21:59:29 	-0700,65
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:07:01 	-0700,2025-04-01 	22:04:56 	-0700,2025-04-01 	22:04:56 	-0700,66
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:15:32 	-0700,2025-04-01 	22:10:14 	-0700,2025-04-01 	22:10:14 	-0700,65
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:17:18 	-0700,2025-04-01 	22:16:32 	-0700,2025-04-01 	22:16:32 	-0700,50
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:22:56 	-0700,2025-04-01 	22:17:35 	-0700,2025-04-01 	22:17:35 	-0700,51
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:27:58 	-0700,2025-04-01 	22:26:48 	-0700,2025-04-01 	22:26:48 	-0700,64
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:32:46 	-0700,2025-04-01 	22:31:45 	-0700,2025-04-01 	22:31:45 	-0700,56
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:38:58 	-0700,2025-04-01 	22:36:47 	-0700,2025-04-01 	22:36:47 	-0700,48
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:42:59 	-0700,2025-04-01 	22:37:49 	-0700,2025-04-01 	22:37:49 	-0700,51
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:52:58 	-0700,2025-04-01 	22:46:20 	-0700,2025-04-01 	22:46:20 	-0700,47
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:52:59 	-0700,2025-04-01 	22:50:11 	-0700,2025-04-01 	22:50:11 	-0700,53
guk 	il’s 	Apple Watch,count/min,2025-04-01 	22:57:58 	-0700,2025-04-01 	22:56:47 	-0700,2025-04-01 	22:56:47 	-0700,49
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:04:58 	-0700,2025-04-01 	22:58:57 	-0700,2025-04-01 	22:58:57 	-0700,50
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:10:03 	-0700,2025-04-01 	23:04:18 	-0700,2025-04-01 	23:04:18 	-0700,54
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:12:58 	-0700,2025-04-01 	23:07:38 	-0700,2025-04-01 	23:07:38 	-0700,50
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:16:58 	-0700,2025-04-01 	23:16:01 	-0700,2025-04-01 	23:16:01 	-0700,48
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:23:26 	-0700,2025-04-01 	23:17:54 	-0700,2025-04-01 	23:17:54 	-0700,48
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:24:00 	-0700,2025-04-01 	23:23:59 	-0700,2025-04-01 	23:23:59 	-0700,79
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:29:20 	-0700,2025-04-01 	23:26:08 	-0700,2025-04-01 	23:26:08 	-0700,71
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:31:54 	-0700,2025-04-01 	23:31:53 	-0700,2025-04-01 	23:31:53 	-0700,104
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:36:57 	-0700,2025-04-01 	23:28:43 	-0700,2025-04-01 	23:28:43 	-0700,69
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:37:28 	-0700,2025-04-01 	23:36:24 	-0700,2025-04-01 	23:36:24 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:44:42 	-0700,2025-04-01 	23:40:55 	-0700,2025-04-01 	23:40:55 	-0700,59
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:51:51 	-0700,2025-04-01 	23:42:06 	-0700,2025-04-01 	23:42:06 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:51:53 	-0700,2025-04-01 	23:49:31 	-0700,2025-04-01 	23:49:31 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-01 	23:57:43 	-0700,2025-04-01 	23:51:49 	-0700,2025-04-01 	23:51:49 	-0700,55
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:02:20 	-0700,2025-04-02 	00:01:34 	-0700,2025-04-02 	00:01:34 	-0700,49
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:11:30 	-0700,2025-04-02 	00:05:16 	-0700,2025-04-02 	00:05:16 	-0700,49
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:12:41 	-0700,2025-04-02 	00:10:29 	-0700,2025-04-02 	00:10:29 	-0700,50
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:15:31 	-0700,2025-04-02 	00:14:23 	-0700,2025-04-02 	00:14:23 	-0700,54.3029
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:16:56 	-0700,2025-04-02 	00:16:56 	-0700,2025-04-02 	00:16:56 	-0700,48
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:17:49 	-0700,2025-04-02 	00:16:21 	-0700,2025-04-02 	00:16:21 	-0700,47
guk 	il’s 	Apple Watch,count/min,2025-04-02 	00:23:41 	-0700,2025-04-02 	00:17:37 	-0700,2025-04-02 	00:17:37 	-0700,47
